,Cell names,p_vals
139,Fib_0 x healthy_CM,0.15289214392694603
140,Pericyte_1 x intermediate_CM,0.046614142116181326
141,healthy_CM x healthy_CM,0.06992662276272721
142,Capillary_Endo x Fib_3,0.5617651567159376
143,Adipo x CCL18_Macrophages,0.059689975993388864
144,SPP1_Macrophages x perivascular_fibroblasts,0.06713620669703883
145,Myofib x healthy_CM,0.07750279368379943
146,CD4 x vSMCs_2,0.06205452922603272
147,Fib_0 x LYVE_PLTP_Macrophages,0.05909854613985994
148,Capillary_Endo x Pericyte_2,0.06934619141525286
149,CD4 x prolif,0.05097961773540789
150,Fib_3 x Pericyte_2,0.07907279949956601
151,LYVE_PLTP_Macrophages x prolif,0.05305102230842765
152,Mast x vSMCs_2,0.06814959978000629
153,Adipo x Lymphatic_Endo,0.07928220503061162
154,NK_T x perivascular_fibroblasts,0.06130433674231121
155,Arterial_Endo x Pericyte_2,0.08445157031883312
156,Neuronal x healthy_CM,0.05343029426836386
157,Adipo x SPP1_Macrophages,0.08136740067304081
158,Arterial_Endo x Fib_3,0.7365873790858446
159,LYVE_FOLR_Macrophages x Pericyte_2,0.08250391396177048
160,CCL18_Macrophages x vSMCs_2,0.08246489184661945
161,LYVE_PLTP_Macrophages x vSMCs_1,0.07238489417807306
162,Fib_SCARA5 x Pericyte_1,0.0746041272244902
163,vSMCs_1 x vSMCs_1,0.07383158068126423
164,Myofib x prolif,0.06470991515980393
165,CD8 x vSMCs_1,0.06913174561195316
166,damaged_CM x intermediate_CM,0.06076622185059018
167,Pericyte_2 x Pericyte_2,0.05873726517273308
168,Fib_3 x Pericyte_1,0.18607398561123673
169,CD4 x vSMCs_1,0.06889074309396603
170,Monocytes x Pericyte_2,0.0861078816566146
171,Capillary_Endo x Fib_SCARA5,0.34809951462854705
172,Capillary_Endo x prolif,0.06160288207900046
173,Adipo x Arterial_Endo,0.08652906238731069
174,Adipo x Capillary_Endo,0.09353148717574196
175,Capillary_Endo x vCM_3,0.06767224373916866
176,Mast x Venous_Endo,0.09842755769646347
177,Pericyte_2 x intermediate_CM,0.06857833453493266
178,Adipo x perivascular_fibroblasts,0.09048208830641567
179,Monocytes x prolif,0.06982098930433094
180,Fib_SCARA5 x damaged_CM,0.07072527590822583
181,Endocardial_Endo x Pericyte_2,0.09621316822912465
182,Neuronal x intermediate_CM,0.07102918719260719
183,SPP1_Macrophages x vSMCs_1,0.1052169195893213
184,Fib_SCARA5 x Lymphatic_Endo,0.09791395730690941
185,LYVE_FOLR_Macrophages x damaged_CM,0.07392211915382613
186,Adipo x NK_T,0.0857234703665528
187,CCL18_Macrophages x vSMCs_1,0.10783083318052498
188,Pericyte_1 x Pericyte_1,0.07405056071520776
189,NK_T x damaged_CM,0.07412453685084383
190,Lymphatic_Endo x Mast,0.07918059101587374
191,Adipo x CD4,0.09302244837558865
192,Adipo x Venous_Endo,0.09955363558202082
193,Monocytes x vSMCs_1,0.0952546732857662
194,Adipo x Mast,0.09701218391122797
195,NK_T x vSMCs_1,0.09717426326620002
196,intermediate_CM x intermediate_CM,0.08153005329322498
197,NK x perivascular_fibroblasts,0.08917586380001807
198,Arterial_Endo x Mast,0.0927152380590752
199,Pericyte_2 x SPP1_Macrophages,0.09914631894026506
200,Adipo x CD8,0.0968950772837728
201,Mast x vSMCs_1,0.11007486322759338
202,LYVE_FOLR_Macrophages x Lymphatic_Endo,0.09694018619837258
203,CCL18_Macrophages x Venous_Endo,0.1326199374565089
204,Fib_0 x Monocytes,0.09552723863791082
205,Arterial_Endo x CD4,0.08684891786389232
206,Fib_0 x Pericyte_2,0.11774107202721493
207,Arterial_Endo x CD8,0.09001281769800344
208,Capillary_Endo x Fib_0,0.18109793926409992
209,vCM_3 x vSMCs_2,0.08909360358540075
210,LYVE_PLTP_Macrophages x Pericyte_2,0.09661891397063567
211,Arterial_Endo x Monocytes,0.08952464851024132
212,NK x Pericyte_2,0.09085885386884682
213,CD4 x Endocardial_Endo,0.09271858365242047
214,Endocardial_Endo x Mast,0.09338578941736017
215,CD8 x Fib_0,0.09584870335533228
216,Capillary_Endo x damaged_CM,0.11749192549319767
217,SPP1_Macrophages x vSMCs_2,0.12797062952500932
218,Myofib x intermediate_CM,0.12012955698869915
219,CD4 x Fib_0,0.09897176977683964
220,Lymphatic_Endo x Pericyte_1,0.14575188906570047
221,prolif x prolif,0.09950609613971326
222,Adipo x LYVE_PLTP_Macrophages,0.1446244673545619
223,Adipo x Fib_0,0.13840884134352277
224,Arterial_Endo x NK_T,0.1063794441971022
225,CD4 x Lymphatic_Endo,0.10114518536093242
226,Endocardial_Endo x Fib_0,0.10131740923506392
227,Fib_3 x SPP1_Macrophages,0.12643441875780728
228,LYVE_PLTP_Macrophages x vSMCs_2,0.1323168948745637
229,CCL18_Macrophages x Fib_3,0.1308550226412077
230,Arterial_Endo x Arterial_Endo,0.10276651866728488
231,Neuronal x perivascular_fibroblasts,0.11329680911306712
232,Adipo x NK,0.11502071751287263
233,Myofib x NK_T,0.12548870234831394
234,CD8 x Endocardial_Endo,0.1052107716483344
235,Adipo x vSMCs_1,0.1336575066511088
236,Monocytes x damaged_CM,0.10609913234125054
237,Endocardial_Endo x healthy_CM,0.27553906371071873
238,CD8 x CD8,0.10708428248663956
239,Capillary_Endo x Pericyte_1,0.13622273434437188
